DOI,Titel,Feld,Thema,HMD
10.1088/1741-2560/13/5/056006,Application of virtual reality head mounted display for investigation of movement: a novel effect of orientation of attention,Human Biology,Measurement of body functions,
10.1111/cgf.13026,Foveated Real-Time Ray Tracing for Head-Mounted Displays,Softwareentwicklung,Visualisation,Oculus Rift
10.1016/j.cmpb.2016.07.026,"Human field of regard, field of view, and attention bias",Human Biology,Measurement of body functions,
10.4018/IJMBL.2016100104,Mobile VR in Education: From the Fringe to the Mainstream,Bildungswesen,Image of VR / Use of VR,
10.1007/s11042-016-3520-1,Application of precise indoor position tracking to immersive virtual reality with translational movement support,Hardwareentwicklung und Evaluation,Hardware development,
10.3390/sym8090093,Modeling and Optimization of a Tree Based on Virtual Reality for Immersive Virtual Landscape Generation,Softwareentwicklung,Visualisation,Oculus Rift
10.1007/s10055-016-0287-7,A comparative evaluation of viewing metaphors on psychophysical skills education in an interactive virtual environment,Psychology / Human factors,Training,
10.1007/s10055-016-0288-6,An objective measure for the visual fidelity of virtual reality and the risks of falls in a virtual environment,Psychology / Human factors,Presence,Gear VR & Oculus Rift & Google Cardboard
10.1364/AO.55.006969,Development of an immersive virtual reality head-mounted display with high performance,Hardwareentwicklung und Evaluation,Hardware development,
10.1162/COMJ_a_00372,"Virtual Reality Musical Instruments: State of the Art, Design Principles, and Future Directions",Musik,Image of VR / Use of VR,
10.1016/j.displa.2016.07.002,Use of physiological signals to predict cybersickness,Psychology / Human factors,Cybersickness / Fatigue,
10.1007/s10803-016-2830-5,Brief Report: A Pilot Study of the Use of a Virtual Reality Headset in Autism Populations,Psychology / Human factors,Image of VR / Use of VR,
10.3788/COL201614.080901,Acceleration for computer-generated hologram in head-mounted display with effective diffraction area recording method for eyes,Hardwareentwicklung und Evaluation,Visualisation,
10.1186/s12984-016-0174-1,Feasibility of a walking virtual reality system for rehabilitation: objective and subjective parameters,Hardwareentwicklung und Evaluation,Movement / Navigation,
10.1145/2971320,Effects of Visual Latency on Vehicle Driving Behavior,Softwareentwicklung,Visual perception,
10.1007/s40299-016-0293-2,The Effects of Virtual Reality Learning Environment on Student Cognitive and Linguistic Development,Bildungswesen,Training,
10.3389/frobt.2016.00043,Social Influence on Evacuation Behavior in Real and Virtual Environments,Psychology / Human factors,Collaboration / Interaction,
10.2196/games.5526,Design of a Serious Game for Handling Obstetrical Emergencies,Medizin,Training,Oculus Rift
10.1145/2897824.2925883,Mapping Virtual and Physical Reality,Softwareentwicklung,Movement / Navigation,Oculus Rift DK2
10.2196/games.6476,Effects of Visual Display on Joint Excursions Used to Play Virtual Dodgeball,Medizin,Evaluation of VR systems,
10.1587/transinf.2016EDL8028,Design and Comparison of Immersive Gesture Interfaces for HMD Based Virtual World Navigation,Softwareentwicklung,Control of VR / Human-Computer Interface,
10.1007/s00586-016-4388-5,Neck motion kinematics: an inter-tester reliability study using an interactive neck VR assessment in asymptomatic individuals,Medizin,Rehabilitation / Treatment,I- glasses HRV Pro
10.1016/j.gaitpost.2016.06.010,The effect of viewing a virtual environment through a head-mounted display on balance,Ergonomie,Balance,
10.1109/TVCG.2016.2520921,"A Study of Layout, Rendering, and Interaction Methods for Immersive Graph Visualization",Softwareentwicklung,Visualisation,
10.1109/TVCG.2015.2473855,Resolving the Vergence-Accommodation Conflict in Head-Mounted Displays,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.3928/01913913-20160511-01,Effects of Head-Mounted Display on the Oculomotor System and Refractive Error in Normal Adolescents,Medizin,Effect of HMDs on Eyesight,
10.1016/j.ergon.2016.01.001,Ergonomic evaluation of interaction techniques and 3D menus for the practical design of 3D stereoscopic displays,Ergonomie,Haptics / Physical interaction,
10.1007/s10916-016-0475-8,Bigdata Oriented Multimedia Mobile Health Applications,Medizin,Measurement of body functions,
10.1088/1741-2560/13/2/026022,Assistive peripheral phosphene arrays deliver advantages in obstacle avoidance in simulated end-stage retinitis pigmentosa: a virtual-reality study,Human Biology,Visual perception,
10.1016/j.jmgm.2016.02.009,iBET: Immersive visualization of biological electron-transfer dynamics,Biologie / Chemie,Visualisation,
10.1109/TVCG.2016.2518137,"Who turned the clock? Effects of Manipulated Zeitgebers, Cognitive Load and Immersion on Time Estimation",Psychology / Human factors,Effect of Immersion,
10.1109/TVCG.2016.2518298,Examining Rotation Gain in CAVE-like Virtual Environments,,,
10.1109/TVCG.2016.2518098,Taking Immersive VR Leap in Training of Landing Signal Officers,Softwareentwicklung,Training,
10.1109/TVCG.2016.2518079,Construction and Evaluation of an Ultra Low Latency Frameless Renderer for VR,Softwareentwicklung,Software development,
10.1109/TVCG.2016.2518135,An 'In the Wild' Experiment on Presence and Embodiment using Consumer Virtual Reality Equipment,VR Allgemein,Presence,Gear VR & Google Cardboard
10.1002/cav.1633,Interactive digital graffiti canvas system,Softwareentwicklung,Haptics / Physical interaction,
10.1007/s00464-015-4278-7,Face and construct validation of a next generation virtual reality (Gen2-VR (c)) surgical simulator,Medizin,Training,
10.1089/cyber.2015.0130,The Immersive Virtual Reality Experience: A Typology of Users Revealed Through Multiple Correspondence Analysis Combined with Cluster Analysis Technique,Psychology / Human factors,Image of VR / Use of VR,
10.1016/j.entcom.2016.01.001,Visual 3D motion acuity predicts discomfort in 3D stereoscopic environments,Psychology / Human factors,Cybersickness / Fatigue,Oculus Rift
10.1098/rsos.150567,Sound can enhance the analgesic effect of virtual reality,Medizin,Perception of Pain / Discomfort,
10.3389/fpsyg.2016.00268,Representation of Patients' Hand Modulates Fear Reactions of Patients with Spider Phobia in Virtual Reality,Psychology / Human factors,Body Illusion,
10.1371/journal.pone.0148060,First-Person Perspective Virtual Body Posture Influences Stress: A Virtual Reality Body Ownership Study,Psychology / Human factors,Body Illusion,
10.1585/pfr.11.2406060,An Intuitive Interface for Visualizing Numerical Data in a Head-Mounted Display with Gesture Control,Ingenieurwesen / Physik,Visualisation,
10.16910/jemr.9.6.4,Effectiveness of a Virtual Reality Head-Mounted Display System-based Developmental Eye Movement Test,Human Biology,Measurement of body functions,
10.7195/ri14.v24i2.965,Virtual reality (HMD) and Interaction from the Perspective of Narrative Construction and Communication: Taxonomic Proposal,,,
10.1007/978-3-319-28722-5_10,"Virtual Reality, Game Design, and Virtual Art Galleries",Archv§ologie / Museen,Model design,
10.1080/0144929X.2016.1212931,Virtual reality systems enhance students' achievements in engineering education,Ingenieurwesen / Physik,Training,Oculus Rift
10.1109/JTEHM.2016.2623787,Effects of Real-World Versus Virtual Environments on Joint Excursions in Full-Body Reaching Tasks,Ergonomie,Haptics / Physical interaction,Oculus Rift
10.1080/19439962.2015.1046621,Way-finding lighting systems for rail tunnel evacuation: A virtual reality experiment with Oculus Rift (R),Ingenieurwesen / Physik,Movement / Navigation,Oculus Rift
10.1080/07421222.2019.1628889,Shopping in Virtual Reality Stores: The Influence of Immersion on System Adoption.,,,
10.1016/j.future.2018.02.029,Evaluating the effects of collaboration and competition in navigation tasks and spatial knowledge acquisition within virtual reality environments.,,,
10.1016/j.future.2018.11.041,Estimating VR Sickness and user experience using different HMD technologies: An evaluation study.,,,
10.1089/cyber.2019.0206,"Using Virtual Reality Head-Mounted Displays in Schools with Autistic Children: Views, Experiences, and Future Directions.",,,
10.1007/s11517-019-02070-2,Effects of virtual reality technology locomotive multi-sensory motion stimuli on a user simulator sickness and controller intuitiveness during a navigation task.,,,
10.1016/j.aap.2019.105356,Road crossing decisions in real and virtual environments: A comparative study on simulator validity.,,,
10.1089/cyber.2020.29183.gri,How Cyberpsychology and Virtual Reality Can Help Us to Overcome the Psychological Burden of Coronavirus.,Psychology / Human factors,Emotions / Empathy / Fear,
10.1016/j.ergon.2020.102939,"Usability of the size, spacing, and operation method of virtual buttons with virtual hand on head-mounted displays.",,,
10.1016/j.jbusres.2018.10.054,The influence of virtual reality in e-commerce.,,,
10.1016/j.aap.2018.06.003,Get ready for automated driving using Virtual Reality.,,,
10.1080/10447318.2017.1412144,Body Movement Reduces Pain Intensity in Virtual Reality-Based Analgesia.,,,
10.1080/10548408.2019.1618781,Integrating virtual reality devices into the body: effects of technological embodiment on customer engagement and behavioral intentions toward the destination.,,,
10.1080/10447318.2017.1411665,Spatialized Vibrotactile Feedback Improves Goal-Directed Movements in Cluttered Virtual Environments.,,,
10.1080/13527266.2019.1671480,Using virtual reality to promote the university brand: When do telepresence and system immersion matter?,Retail / Marketing,Presence,Oculus Rift & Google Cardboard
10.1016/j.future.2018.08.049,Influence of video content type on users' virtual reality sickness perception and physiological response.,,,
10.1108/JBIM-12-2018-0407,Value formation with immersive technologies: an activity perspective.,Retail / Marketing,Image of VR / Use of VR,
10.1080/10447318.2018.1429061,Virtual Reality Interfaces for Interacting with Three-Dimensional Graphs.,,,
10.1016/j.trf.2017.08.005,Driver behavior in mixed and virtual reality ‚Äì A comparative study.,,,
10.1111/cgf.13757,Real?Time Analytic Antialiased Text for 3?D Environments.,Softwareentwicklung,Visualisation,
10.1016/j.jbusres.2019.01.017,"Exploring barriers to adoption of Virtual Reality through Social Media Analytics and Machine Learning ‚Äì An assessment of technology, network, price and trialability.",Retail / Marketing,Image of VR / Use of VR,Oculus Rift & HTC Vive
10.1016/j.jretconser.2019.02.016,"The examination of virtual reality at the intersection of consumer experience, shopping journey and physical retailing.",,,
10.1080/10447318.2018.1541546,Selecting Menu Items in Mobile Head-Mounted Displays: Effects of Selection Technique and Active Area.,,,
10.1111/cgf.13026,Foveated Real-Time Ray Tracing for Head-Mounted Displays.,,,
10.1049/iet-ipr.2018.5920,"Survey on depth perception in head mounted displays: distance estimation in virtual reality, augmented reality, and mixed reality.",Psychology / Human factors,Visual perception,
10.1109/MCG.2018.111125628,15 Years of Research on Redirected Walking in Immersive Virtual Environments.,Ergonomie,Movement / Navigation,
10.1177/1046878118820905,Virtual Reality Simulation Technology for Cardiopulmonary Resuscitation Training: An Innovative Hybrid System With Haptic Feedback.,,,
10.18559/ebr.2018.3.4,"Virtual reality in marketing communication - the impact on the message, technology and offer perception - empirical study.",,,
10.6017/ital.v39i1.11369,Virtual Reality: A Survey of Use at an Academic Library.,,,
10.1109/TPC.2018.2804238,"Understanding Virtual Reality: Presence, Embodiment, and Professional Practice.",,,
10.1109/TCE.2018.2879065,A QoE and Simulator Sickness Evaluation of a Smart-Exercise-Bike Virtual Reality System via User Feedback and Physiological Signals.,,,
10.1016/j.ipm.2019.102105,Evaluating the use of interactive virtual reality technology with older adults living in residential aged care.,,,
10.1109/MCG.2018.2875609,"The Office of the Future: Virtual, Portable, and Global.",,,
10.1109/TBC.2018.2811627,Subjective Panoramic Video Quality Assessment Database for Coding Applications.,,,
10.1109/MCG.2018.2884272,A Virtual Reality Training Application for Adults With Asperger's Syndrome.,Psychology / Human factors,Training,
10.1080/10447318.2018.1519164,Effects of Travel Modes on Performances and User Comfort: A Comparison between ArmSwinger and Teleporting.,,,
10.1080/07370024.2016.1243478,The Perceptual Quality of the Oculus Rift for Immersive Virtual Reality.,,,
10.1109/MCG.2019.2936753,A Compelling Virtual Tour of the Dunhuang Cave With an Immersive Head-Mounted Display.,,,
10.1016/j.jretconser.2019.01.010,Consumer perceptions and purchase behavior toward imperfect fruits and vegetables in an immersive virtual reality grocery store.,,,
10.1109/TASE.2019.2945607,Virtual Reality Robot-Assisted Welding Based on Human Intention Recognition.,,,
10.22430/21457778.1213,Anv°lisis y evaluaciv=n de procesos de interactividad en entornos virtuales de aprendizaje.,,,
10.1016/j.ergon.2019.06.013,Effects of displays on a direct reaching task: A comparative study of head mounted display and stereoscopic widescreen display.,,,
10.1109/TCSVT.2019.2953827,Omnidirectional 360¬8 Video Coding Technology in Responses to the Joint Call for Proposals on Video Compression With Capability Beyond HEVC.,Softwareentwicklung,Software development,
10.1145/3329119,"A Survey on 360¬8 Video Streaming: Acquisition, Transmission, and Display.",Softwareentwicklung,Software development,
10.1089/cyber.2017.0499,Modulation of Excitability in the Temporoparietal Junction Relieves Virtual Reality Sickness.,,,
10.1080/0144929X.2016.1212931,Virtual reality systems enhance students‚Äô achievements in engineering education.,,,
10.1111/cgf.13780,Tessellated Shading Streaming.,,,
10.1089/cyber.2015.0130,The Immersive Virtual Reality Experience: A Typology of Users Revealed Through Multiple Correspondence Analysis Combined with Cluster Analysis Technique.,,,
10.18280/isi.240310,Interactive Design of Commercial Space Signage System Based on Object Detection.,Bauwesen / Architektur,Visual perception,
10.14400/JDC.2017.15.5.353,??????? ??? ??????? ?????? ?? ?? ??.,,,
10.1109/MCG.2019.2915717,Follow the Smoke: Immersive Display of Motion Data With Synthesized Smoke.,,,
10.1109/MCOM.001.1800876,Mobile Immersive Computing: Research Challenges and the Road Ahead.,Softwareentwicklung,Software development,
10.1109/MCG.2018.021951628,Human-Centered VR Design: Five Essentials Every Engineer Needs to Know.,Psychology / Human factors,Model design,
10.1089/cyber.2017.0714,Pain Distraction During Ambulatory Surgery: Virtual Reality and Mobile Devices.,,,
10.1111/rssa.12381,Visualizing spatiotemporal models with virtual reality: from fully immersive environments to applications in stereoscopic view.,,,
10.1049/iet-ipr.2017.0826,Perceptual video quality metric for compression artefacts: from two-dimensional to omnidirectional.,,,
10.14400/JDC.2018.16.11.185,??? ?? ??? ??? ???? ??? ?? ??? ??.,,,
10.1016/j.ijinfomgt.2016.04.017,A content service deployment plan for metaverse museum exhibitions‚ÄîCentering on the combination of beacons and HMDs.,,,
10.1080/0144929X.2016.1264483,Effects of using a force feedback haptic augmented simulation on the attitudes of the gifted students towards studying chemical bonds in virtual reality environment.,,,
10.1080/07370024.2018.1469408,Virtual Reality Interventions for Personal Development: A Meta-Analysis of Hardware and Software.,Psychology / Human factors,Rehabilitation / Treatment,
10.1016/j.cie.2018.11.060,Visual computing technologies to support the Operator 4.0.,Manufacturing,Remote Control / Digital Twin,
10.14400/JDC.2017.15.11.463,360? ???? ?? ?? ??? ???? ??? ??.,,,
10.1111/cgf.12956,Adaptive Image-Space Sampling for Gaze-Contingent Real-time Rendering.,Softwareentwicklung,Visualisation,
10.4018/IJMBL.2016100104,Mobile VR in Education: From the Fringe to the Mainstream.,,,
10.1080/16864360.2016.1273584,A virtual environment to emulate tailor‚Äôs work.,Design,Model design,
10.1089/cyber.2017.0174,Beat the Fear of Public Speaking: Mobile 360¬8 Video Virtual Reality Exposure Training in Home Environment Reduces Public Speaking Anxiety.,,,
10.1109/TMI.2019.2926501,Specular Reflections Removal for Endoscopic Image Sequences With Adaptive-RPCA Decomposition.,Softwareentwicklung,Visualisation,
10.1016/j.ergon.2016.01.001,Ergonomic evaluation of interaction techniques and 3D menus for the practical design of 3D stereoscopic displays.,,,
10.14400/JDC.2017.15.5.443,?? ??? ??? ?? ???? ????? ??.,,,
10.1037/xlm0000597,Learning-dependent evolution of spatial representations in large-scale virtual environments.,,,
10.1089/cyber.2018.0027,Physiological Monitoring During Augmented Reality Exercise Confirms Advantages to Health and Well-Being.,,,
10.1037/xhp0000597,Full-body ownership illusion elicited by visuo-vestibular integration.,,,
10.1016/j.jclepro.2019.117805,A review of emerging industry 4.0 technologies in remanufacturing.,Manufacturing,Image of VR / Use of VR,
10.1109/MCG.2017.2801407,Beaming into the News: A System for and Case Study of Tele-Immersive Journalism.,Hardwareentwicklung und Evaluation,Remote Control / Digital Twin,
10.1016/j.iccn.2020.102849,Effect of virtual reality meditation on sleep quality of intensive care unit patients: A randomised controlled trial,Medizin,Rehabilitation / Treatment,
10.1007/s11227-018-2615-z,Natural embedding of live actors and entities into 360 degrees virtual reality scenes,Softwareentwicklung,Visualisation,
10.1007/s10055-020-00449-3,Comparison of gaze accuracy and precision in real-world and virtual reality,Psychology / Human factors,Visual perception,HTC Vive
10.1007/s11042-020-09026-x,A novel method to enhance the touristic 360 degrees promotional video experience,Softwareentwicklung,Haptics / Physical interaction,
10.1186/s12886-020-01471-4,Influence of virtual reality on visual parameters: immersive versus non-immersive mode,Psychology / Human factors,Visual perception,
10.1177/1937586720924787,Using Immersive Virtual Environments (IVEs) to Conduct Environmental Design Research: A Primer and Decision Framework,Design,Model design,
10.1080/17483107.2020.1765419,Contextual sensory integration training via head mounted display for individuals with vestibular disorders: a feasibility study,Medizin,Rehabilitation / Treatment,
10.3390/su12093823,"Virtual Reality Nature Experiences Involving Wolves on YouTube: Presence, Emotions, and Attitudes in Immersive and Nonimmersive Settings",Biologie / Chemie,Emotions / Empathy / Fear,
10.3390/app10093012,Efficacy of Virtual Reality in Painting Art Exhibitions Appreciation,Psychology / Human factors,Emotions / Empathy / Fear,
10.3390/app10093182,ArkaeVision VR Game: User Experience Research between Real and Virtual Paestum,Archv§ologie / Museen,Emotions / Empathy / Fear,
10.1177/2055668320913770,Participatory design and evaluation of virtual reality games to promote engagement in physical activity for people living with dementia,Medizin,Rehabilitation / Treatment,An Oculus Rift CV1
10.1016/j.cag.2020.03.006,Deep into visual saliency for immersive VR environments rendered in real-time,Psychology / Human factors,Visual perception,HTC Vive
10.1371/journal.pone.0231152,Accuracy and precision of stimulus timing and reaction times with Unreal Engine and SteamVR,Hardwareentwicklung und Evaluation,Measurement of body functions,
10.1371/journal.pone.0223631,Virtual reality as a tool for environmental conservation and fundraising,Retail / Marketing,Perception of prodcuts / Advertisement,
10.3390/s20071917,Gaze Tracking and Point Estimation Using Low-Cost Head-Mounted Devices,Hardwareentwicklung und Evaluation,Hardware development,
10.3390/s20082208,Closed-Loop Attention Restoration Theory for Virtual Reality-Based Attentional Engagement Enhancement,Psychology / Human factors,Presence,
10.3390/s20082168,The Impact of a Novel Immersive Virtual Reality Technology Associated with Serious Games in Parkinson's Disease Patients on Upper Limb Rehabilitation: A Mixed Methods Intervention Study,Medizin,Rehabilitation / Treatment,Oculus Rift 2 plus
10.3390/s20082264,Foveation Pipeline for 360 degrees Video-Based Telemedicine,Softwareentwicklung,Software development,
10.1371/journal.pone.0230042,Read-the-game: System for skill-based visual exploratory activity assessment with a full body virtual reality soccer simulation,Psychology / Human factors,Visual perception,
10.32604/cmc.2020.09930,Design of Learning Media in Mixed Reality for Lao Education,Bildungswesen,Model design,
10.1371/journal.pone.0225972,Walking with head-mounted virtual and augmented reality devices: Effects on position control and gait biomechanics,Hardwareentwicklung und Evaluation,Model design,Samsung Gear VR SM-R322 and Samsung Galaxy S7
10.3389/frobt.2019.00084,Virtual Reality for Information Visualization Might Just Work This Time,,,Gear VR SM-R322 and Samsung Galaxy S7
10.1080/07421222.2019.1628889,Shopping in Virtual Reality Stores: The Influence of Immersion on System Adoption,Retail / Marketing,Effect of Immersion,HTC Vive
10.1016/j.bjoms.2018.04.002,Virtual reality head-mounted display for endoscopically-assisted implant surgery,Medizin,Visualisation,
10.1016/B978-0-12-809481-5.00009-2,Immersive Virtual Reality and the Developing Child,Psychology / Human factors,Training,
10.1587/transinf.2015EDP7165,A Novel Earthquake Education System Based on Virtual Reality,Softwareentwicklung,Model design,
10.3762/bjnano.6.220,Virtual reality visual feedback for hand-controlled scanning probe microscopy manipulation of single molecules,Softwareentwicklung,Visualisation,Oculus Rift
10.1021/acs.jcim.5b00544,Molecular Rift: Virtual Reality for Drug Designers,Biologie / Chemie,Visualisation,Oculus Rift
10.1007/s10055-015-0270-8,On the validity of virtual reality-based auditory experiments: a case study about ratings of the overall listening experience,Psychology / Human factors,Perception of Sound,Oculus Rift
10.1016/j.physbeh.2015.08.043,"Cybersickness provoked by head-mounted display affects cutaneous vascular tone, heart rate and reaction time",Psychology / Human factors,Cybersickness / Fatigue,Oculus Rift DK1
10.1080/00222895.2015.1015674,Visual and Proprioceptive Adaptation of Arm Position in a Virtual Environment,Ergonomie,Body Illusion,"HMZ- T1, Sony"
10.1002/hfm.20566,Effects of Displays on Visually Controlled Task Performance in Three-Dimensional Virtual Reality Environment,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1145/2766939,Facial Performance Sensing Head-Mounted Display,Hardwareentwicklung und Evaluation,Measurement of body functions,
10.1016/j.chb.2015.01.065,Treating small animal phobias using a projective-augmented reality system: A single-case study,Psychology / Human factors,Emotions / Empathy / Fear,
10.3389/fneur.2015.00164,Maintaining balance when looking at a virtual reality three-dimensional display of a field of moving dots or at a virtual reality scene,Human Biology,Balance,
10.3389/fnins.2015.00207,Rapid P300 brain-computer interface communication with a head-mounted display,Human Biology,Control of VR / Human-Computer Interface,
10.1007/s10055-015-0260-x,Posttraumatic stress disorder: possibilities for olfaction and virtual reality exposure therapy,Psychology / Human factors,Rehabilitation / Treatment,
10.1088/1741-2560/12/3/036001,Towards an assistive peripheral visual prosthesis for long-term treatment of retinitis pigmentosa: evaluating mobility performance in immersive simulations,Medizin,Rehabilitation / Treatment,
10.3389/fpsyg.2015.00713,Comparing the effectiveness of different displays in enhancing illusions of self-movement (vection),Hardwareentwicklung und Evaluation,Movement / Navigation,Oculus Rift
10.1016/j.cag.2015.02.007,Coordinated hybrid virtual environments: Seamless interaction contexts for effective virtual reality,Softwareentwicklung,Model design,
10.1364/AO.54.003422,Slim near-eye display using pinhole aperture arrays,Hardwareentwicklung und Evaluation,Hardware development,
10.1145/2720020,Affordance Judgments in HMD-Based Virtual Environments: Stepping over a Pole and Stepping off a Ledge,Psychology / Human factors,Visual perception,NVIS nVisor SX head-mounted
10.1016/j.math.2014.10.002,"Interactive cervical motion kinematics: Sensitivity, specificity and clinically significant values for identifying kinematic impairments in patients with chronic neck pain",Medizin,Rehabilitation / Treatment,
10.1109/TVCG.2015.2391858,WAVE: Interactive Wave-based Sound Propagation for Virtual Environments,Softwareentwicklung,Perception of Sound,
10.1109/TVCG.2015.2391860,3D Finger CAPE: Clicking Action and Position Estimation under Self-Occlusions in Egocentric Viewpoint,Softwareentwicklung,Haptics / Physical interaction,Oculus Rift
10.1109/TVCG.2015.2391853,Assessing Knowledge Retention of an Immersive Serious Game vs. a Traditional Education Method in Aviation Safety,Psychology / Human factors,Training,Sony HMZ-T1 HMD (two
10.3389/fpsyg.2015.00248,The Oculus Rift: a cost-effective tool for studying visual-vestibular interactions in self-motion perception,Psychology / Human factors,Movement / Navigation,Oculus Rift
10.3758/s13428-014-0463-1,WeaVR: a self-contained and wearable immersive virtual environment simulation system,Hardwareentwicklung und Evaluation,Hardware development,
10.1145/2699254,Eye Height Manipulations: A Possible Solution to Reduce Underestimation of Egocentric Distances in Head-Mounted Displays,Psychology / Human factors,Visual perception,Nvis nVisor SX60 HMD
10.1016/j.jbiomech.2015.01.005,The accuracy of the Oculus Rift virtual reality head-mounted display during cervical spine mobility measurement,Human Biology,Measurement of body functions,Oculust Rift
10.1016/j.ssci.2014.09.017,Virtual Reality-based pilot training for underground coal miners,Mining,Training,
10.17759/exppsy.2015080205,THE CONTENT OF PROFESSIONAL ACTIVITY AS A FACTOR OF APPLICATION EFFICIENCY OF VIRTUAL REALITY TECHNOLOGY,,,
10.1080/10447318.2015.1039909,Usability Evaluation of VR Interface for Mobile Robot Teleoperation,Hardwareentwicklung und Evaluation,Remote Control / Digital Twin,
10.1068/p7929,Testing the mechanisms underlying improved distance judgments in virtual environments,Psychology / Human factors,Visual perception,NVIS nVisor SX HMD
10.1109/TIE.2014.2334675,Stereoscopic Visualization and 3-D Technologies in Medical Endoscopic Teleoperation,Medizin,Evaluation of VR systems,
10.3233/978-1-61499-595-1-3,The New Dawn of Virtual Reality in Health Care: Medical Simulation and Experiential Interface,,,
10.3109/17483107.2014.889230,"Virtual reality for the assessment of frontotemporal dementia, a feasibility study",Medizin,Diagnosis,
10.1016/j.ijhcs.2014.09.002,Use of auditory event-related potentials to measure immersion during a computer game,Hardwareentwicklung und Evaluation,Evaluation of VR systems,
10.1007/s10055-014-0248-y,New wireless connection between user and VE using speech processing,Softwareentwicklung,Software development,
10.1007/s10055-014-0249-x,Aerial full spherical HDR imaging and display,Softwareentwicklung,Visualisation,
10.1109/MPUL.2014.2355298,Tomorrow's Hospital How technology will be transforming both inpatient and at-home care,Medizin,Image of VR / Use of VR,
10.1115/1.4027114,Design of a Naturalistic Navigational Virtual Reality Using Oculus Rift,Medizin,Model design,Oculus Rift
10.3758/s13428-013-0412-4,An augmented reality home-training system based on the mirror training and imagery approach,,,
10.1037/a0036240,The Use of Immersive Virtual Reality (VR) to Predict the Occurrence 6 Months Later of Paranoid Thinking and Posttraumatic Stress Symptoms Assessed by Self-Report and Interviewer Methods: A Study of Individuals Who Have Been Physically Assaulted,Psychology / Human factors,Measurement of body functions,
10.1002/jsid.269,Distance estimation of near-field visual objects in stereoscopic displays,Ergonomie,Haptics / Physical interaction,
10.1089/cyber.2014.0058,Feasibility of Articulated Arm Mounted Oculus Rift Virtual Reality Goggles for Adjunctive Pain Control During Occupational Therapy in Pediatric Burn Patients,Medizin,Perception of Pain / Discomfort,Oculus Rift
10.7717/peerj.337,Sense of presence and anxiety during virtual social interactions between a human and virtual humans,Psychology / Human factors,Collaboration / Interaction,
10.1109/TVCG.2014.18,Dynamic Affordances in Embodied Interactive Systems: The Role of Display and Mode of Locomotion,Hardwareentwicklung und Evaluation,Movement / Navigation,nVIS nVisor ST
10.4103/1673-5374.131612,Virtual reality interface devices in the reorganization of neural networks in the brain of patients with neurological diseases,Medizin,Rehabilitation / Treatment,
10.1186/1471-2105-15-56,iview: an interactive WebGL visualizer for protein-ligand complex,Biologie / Chemie,Visualisation,
10.1155/2014/206082,Testing of Visual Field with Virtual Reality Goggles in Manual and Visual Grasp Modes,Human Biology,Visual perception,
10.3389/fpsyg.2013.00946,Visual capture and the experience of having two bodies - evidence from two different virtual reality techniques,Psychology / Human factors,Body Illusion,
10.3109/10582452.2013.851760,Cervicocephalic Kinaesthesia in Subjects with and without Peripherally Induced Pain,Medizin,Measurement of body functions,
10.1145/2508363.2508366,Near-Eye Light Field Displays,Hardwareentwicklung und Evaluation,Hardware development,
10.1038/ijo.2013.87,Effects of providing personalized feedback of child's obesity risk on mothers' food choices using a virtual reality buffet,Psychology / Human factors,Behaviour,
10.3389/fnhum.2013.00580,Pshychological influences on distance estimation in a virtual reality environment,Psychology / Human factors,Visual perception,Kaiser SR80
10.1073/pnas.1306779110,Illusory ownership of a virtual child body causes overestimation of object sizes and implicit attitude changes,Psychology / Human factors,Body Illusion,
10.1186/1743-0003-10-80,Altered steering strategies for goal-directed locomotion in stroke,Human Biology,Movement / Navigation,
10.3389/fpsyg.2013.00354,Seeing and "feeling" architecture: how bodily self-consciousness alters architectonic experience and affects the perception of interiors,Psychology / Human factors,Body Illusion,Virtual Research Systems VR1280
10.1016/j.displa.2012.10.007,Exploiting perceptual limitations and illusions to support walking through virtual environments in confined physical spaces,Softwareentwicklung,Movement / Navigation,
10.1109/TVCG.2013.43,Validation of the MR Simulation Approach for Evaluating the Effects of Immersion on Visual Analysis of Volume Data,Psychology / Human factors,Effect of Immersion,
10.1016/j.displa.2013.01.001,Egocentric distance perception in large screen immersive displays,Hardwareentwicklung und Evaluation,Visual perception,
10.1109/TNSRE.2012.2237040,Head Stabilization Shows Visual and Inertial Dependence During Passive Stimulation: Implications for Virtual Rehabilitation,Medizin,Measurement of body functions,
10.1007/s10055-012-0216-3,Perceiving affordances in virtual reality: influence of person and environmental properties in perception of standing on virtual grounds,Psychology / Human factors,Balance,eMagin Z800
10.1007/s00221-012-3352-9,Virtual reality for assessment of patients suffering chronic pain: a case study,Human Biology,Body Illusion,
10.4015/S1016237212500391,DEVELOPMENT OF AN AUGMENTED REALITY-ORIENTED GAME SYSTEM FOR STROKE REHABILITATION ASSESSMENT,,,
10.1371/journal.pone.0040867,Extending Body Space in Immersive Virtual Reality: A Very Long Arm Illusion,Psychology / Human factors,Body Illusion,
10.1109/TVCG.2011.278,Interactive Visibility Retargeting in VR Using Conformal Visualization,Softwareentwicklung,Visualisation,
10.1007/s00702-011-0757-8,Does pre-exposure inhibit fear context conditioning? A Virtual Reality Study,Psychology / Human factors,Emotions / Empathy / Fear,
